domain,method,Q1,Q1_std,Q2,Q2_std,Q3,Q3_std,Q1_top1,Q1_top1_std,Q2_top1,Q2_top1_std,Q3_top1,Q3_top1_std,N_mean,N_std
taxi,sips,0.4,0.26,0.48,0.27,0.64,0.32,0.67,0.49,0.67,0.49,0.67,0.49,1220,405
taxi,BIRL-U,0.33,0.06,0.38,0.17,0.79,0.22,0.33,0.47,0.42,0.49,0.92,0.28,10000,0
taxi,BIRL-O,0.41,0.33,0.44,0.4,0.82,0.23,0.5,0.5,0.42,0.49,1.0,0.0,2500,0
taxi,prp,0.33,0.0,0.36,0.06,0.44,0.08,0.33,0.0,1.0,0.0,1.0,0.0,6830,2090
doors-keys-gems,sips,0.39,0.18,0.51,0.32,0.7,0.35,0.73,0.46,0.73,0.46,0.8,0.41,2100,1140
doors-keys-gems,BIRL-U,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0,250000,0
doors-keys-gems,BIRL-O,0.41,0.33,0.37,0.06,0.41,0.08,0.5,0.5,0.67,0.47,0.87,0.34,10000,0
doors-keys-gems,prp,0.4,0.17,0.62,0.3,0.81,0.26,1.0,0.0,1.0,0.0,1.0,0.0,5970,3350
block-words,sips,0.38,0.27,0.71,0.41,0.78,0.41,0.73,0.46,0.73,0.46,0.8,0.41,2380,1110
block-words,BIRL-U,0.2,0.03,0.21,0.05,0.23,0.1,0.53,0.5,0.53,0.5,0.6,0.49,250000,0
block-words,BIRL-O,0.22,0.01,0.3,0.03,0.46,0.06,0.73,0.44,0.87,0.34,1.0,0.0,10000,0
block-words,prp,0.38,0.18,0.78,0.28,0.91,0.18,0.93,0.26,0.93,0.26,1.0,0.0,3980,1410
intrusion-detection,sips,0.65,0.38,1.0,0.0,1.0,0.0,0.8,0.41,1.0,0.0,1.0,0.0,14100,343
intrusion-detection,BIRL-U,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,250000,0
intrusion-detection,BIRL-O,0.1,0.01,0.25,0.02,0.55,0.03,1.0,0.0,1.0,0.0,1.0,0.0,10000,0
intrusion-detection,prp,0.35,0.13,0.96,0.06,0.99,0.01,1.0,0.0,1.0,0.0,1.0,0.0,75700,20800
