variable,mean,std,min,max,median
q1_true_goal_prob,0.3975848697097456,0.17464763135915728,0.3333333333333333,0.9999998722348619,0.3333333333333333
mid_true_goal_prob,0.6172219098181568,0.30065167382734803,0.3333333333333333,0.9999999999619942,0.49999997186620787
q3_true_goal_prob,0.8138921965119702,0.2620294034378692,0.3333333333333333,1.0,0.9933049189061612
end_true_goal_prob,0.9866965875159472,0.027124301590985566,0.909442998512742,1.0,0.9999999991391251
q1_is_top_ranked,1.0,0.0,true,true,1.0
mid_is_top_ranked,1.0,0.0,true,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,278870.6,229905.2716007803,62609,782333,205377.0
initial_states_visited,17371.4,8047.469707039244,10076,32051,15370.0
marginal_states_visited,10299.724615184075,5849.257834389243,4135.28125,23331.68181818182,8333.36
average_states_visited,10579.073837164107,5894.8095255012895,4315.30303030303,23710.782608695652,8569.133333333333
total_dur,137.0638772646586,121.88543370872532,29.37877607345581,405.2904670238495,91.83941912651062
initial_dur,8.236975224812825,4.561594013910414,3.6548290252685547,17.643531799316406,7.149219989776611
marginal_dur,4.974135137263799,3.032164765444023,1.8123487159609795,11.59587713805112,3.776009064454299
average_dur,5.1039182281895386,3.0714059380037044,1.8754992412798333,11.858818645062653,4.152608496802194
