variable,mean,std,min,max,median
q1_true_goal_prob,0.37632069825981335,0.1797698288976217,0.1035225979614393,0.7020886843348311,0.3170927996450754
mid_true_goal_prob,0.7752929724601086,0.2820649481621889,0.11724224361139167,0.9968150986439898,0.866745113698083
q3_true_goal_prob,0.9111326457337376,0.17813914028228287,0.4681634332447914,0.9999814551716822,0.981044236987969
end_true_goal_prob,0.9958642527294427,0.010632972836386801,0.9623563032325384,0.9999999522489095,0.9999022339585361
q1_is_top_ranked,0.9333333333333333,0.25819888974716115,false,true,1.0
mid_is_top_ranked,0.9333333333333333,0.25819888974716115,false,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,3962.4666666666667,1375.6935843767092,2306,7516,3644.0
initial_states_visited,363.6666666666667,143.8112188484148,168,477,446.0
marginal_states_visited,393.3833333333333,115.09690564255874,201.75,623.8333333333334,391.875
average_states_visited,388.6577466977467,108.70794967678393,222.92307692307693,602.8571428571429,367.0
total_dur,105.73407125473022,34.430095143468364,57.32383394241333,181.0780382156372,108.85507082939148
initial_dur,10.294504992167155,4.545448481949222,4.158260107040405,15.304219007492065,11.609134912490845
marginal_dur,10.43798414500933,3.0822559876698095,5.882853666941325,17.387125651041668,9.418759393692017
average_dur,10.378264647708352,2.9295180126651577,6.539943261580034,17.011300700051443,9.89591552994468
