variable,mean,std,min,max,median
q1_true_goal_prob,0.47816155292974843,0.41288738945223036,1.0562311429495395e-12,0.9999928497993449,0.5123403820741084
mid_true_goal_prob,0.9749999999978435,0.1581138830080692,3.662070033299909e-33,1.0000000000000067,0.9999999999999998
q3_true_goal_prob,1.0,3.771156294418083e-15,0.9999999999999907,1.0000000000000107,1.0
end_true_goal_prob,1.0,2.9859818718905175e-15,0.9999999999999954,1.0000000000000084,0.9999999999999994
q1_is_top_ranked,0.525,0.5057363253408151,false,true,1.0
mid_is_top_ranked,0.975,0.15811388300841894,false,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,13442.3,3566.1343590317324,9132,25028,12970.0
initial_states_visited,7531.65,321.40170168521803,6773,8110,7584.5
marginal_states_visited,350.178422910831,190.83200396634916,77.11764705882354,1016.9411764705883,321.92973856209153
average_states_visited,763.8825578806084,167.7863364366194,507.3333333333333,1390.4444444444443,735.7604166666667
total_dur,230.73268137574195,17.473694986034424,204.8004229068756,295.9731271266937,226.5339241027832
initial_dur,187.54599616527557,8.962014224900715,170.46460103988647,208.95983695983887,186.64785754680634
marginal_dur,2.612574452210903,0.792390133132208,1.7730648914972942,6.245006533230052,2.418040225552578
average_dur,13.257125166522513,1.375674967164459,11.549757518266377,17.819560273488364,12.762490252653759
